"pmid","article_title","journal_issue_id"
"59","Regulation of nitrogen fixation. Nitrogenase-derepressed mutants of Klebsiella pneumoniae.",23
"60","The reaction between the superoxide anion radical and cytochrome c.",24
"61","Identification of the 120 mus phase in the decay of delayed fluorescence in spinach chloroplasts and subchloroplast particles as the intrinsic back reaction. The dependence of the level of this phase on the thylakoids internal pH.",24
"62","Light-induced changes of absorbance and electron spin resonance in small photosystem II particles.",24
"63","Enzymic reactions of fatty acid hydroperoxides in extracts of potato tuber. II. Conversion of 9- and 13-hydroperoxy-octadecadienoic acids to monohydroxydienoic acid, epoxyhydroxy- and trihydroxymonoenoic acid derivatives.",25
"64","Partial purification and properties of microsomal phosphatidate phosphohydrolase from rat liver.",25
"65","Bile acids. XLVII. 12alpha-Hydroxylation of precursors of allo bile acids by rabbit liver microsomes.",25
"66","Partial purification and properties of a phenobarbital-induced aldehyde dehydrogenase of rat liver.",26
"67","Cholinesterases from plant tissues. VI. Preliminary characterization of enzymes from Solanum melongena L. and Zea mays L.",26
"68","Behavior of soluble and immobilized acid phosphatase in hydro-organic media.",26
"69","Purification and some enzymatic properties of the chitosanase from Bacillus R-4 which lyses Rhizopus cell walls.",26
"70","Specificity studies on alpha-mannosidases using oligosaccharides from mannosidosis urine as substrates.",26
"71","Calcium-stimulated adenosine triphosphatase in the microsomal fraction of tooth germ from porcine fetus.",26
"72","Preparation and characterization of an enzymatically active immobilized derivative of myosin.",26
"73","Radioactive labeling and location of specific thiol groups in myosin from fast, slow and cardiac muscles.",26
"74","Yeast glutathione reductase. Studies of the kinetics and stability of the enzyme as a function of pH and salt concentration.",26
"75","Characteristics of the dephosphorylated form of phosphorylase purified from rat liver and measurement of its activity in crude liver preparations.",26
"76","Multiple forms of casein kinase from rabbit erythrocytes.",26
"77","Kinetic studies and effects of anions on creatine phosphokinase from skeletal muscle of rhesus monkey (Macaca mulatta).",26
"78","Studies on rat renal cortical cell kallikrein. I. Separation and measurement.",27
"79","Studies on electron transfer between mercury electrode and hemoprotein.",28
"80","The binding of organic phosphates to human methaemoglobin A. Perturbation of the polymerization of proteins by effectors.",28
"81","N-terminal spin label studies of hemoglobin, Ligand and pH dependence.",28
"82","The behavior of holo- and apo-forms of bovine superoxide dismutase at low pH.",28
"83","Mechanical precipitation of hemoglobin köln.",29
"84","Physical properties and subunits of Haemopis grandis erythrocruorin.",29
"85","Myosin from arterial smooth muscle: isolation following actin depolymerization.",29
"86","Hybrids of chemical derivatives of Escherichia coli alkaline phosphatase.",29
"87","Some physicochemical properties of hemoglobin-manitoba (alpha2 102Ser replaced by Arg (G9) beta2).",29
"88","The oxygen affinity of haemoglobin Tak, a variant with an elongated beta chain.",29
"89","Effects of membrane ribonuclease and 3'-nucleotidase on the digestion of polyuridylic acid by rat liver plasma membrane.",30
"90","Alterations in phospholipid-dependent (Na+ +K+)-ATPase activity due to lipid fluidity. Effects of cholesterol and Mg2+.",30
"91","Conformational and molecular responses to pH variation of the purified membrane adenosine triphosphatase of Micrococcus lysodeikticus.",31
"92","Membrane-bound enzymes. III. Protease activity in leucocytes in relation to erythrocyte membranes.",31
"93","[Structure formation in interphase adsorption layers of lysozyme at liquid boundaries].",32
"94","[Relation between fluorescence and circular dichroism of the complex of the fluorescence probe 4-dimethylaminochalcone with serum albumin].",32
"96","Polymer concentration dependence of the helix to random coil transition of a charged polypeptide in aqueous salt solution.",33
"95","[Luminescence study of the effect of temperature on the conformational state of fibrinogen].",32
"97","Hydrogen peroxide and iron: a microbial cellulolytic system?",34
"98","Microbial sources of cellulase.",34
"99","Mannosidosis: clinical and biochemical findings.",35
"100","Bovine mannosidosis--a model lysosomal storage disease.",35
"101","Ehlers-Danlos type V (X-linked form): a lysyl oxidase deficiency.",35
"102","Urinary alpha-L-fucosidase.",35
"103","[Combined effects of hypoxia and hypercapnia on the functional state of the respiratory center].",36
"104","[Level of nicotinamide coenzymes in the liver and myocardium of rats poisoned with dichlorethane].",36
"105","[Effect of carbidine on conditioned defense reflexes].",36
"106","[Level of nicotinamide coenzymes in the myocardium of rats during the effects of methylxanthines (theophylline, theobromine, caffeine) and catecholamines].",36
"107","Potable water quality in rural Georgetown County.",37
"108","Symposium on malaria research.",38
"109","6th International Symposium on Maritime Medicine 1974.",39
"110","Polypsychopharmacy.",40
"112","PH changes on the surface of burns.",41
"113","Proceedings: The effects of glucagon on the hepatic arterial vasculature of the dog: an inhibition of the effects of vasoconstrictor agents.",42
"111","[Oxygen affinity of haemoglobin (author's transl)].",43
"114","Proceedings: Central hypertensive action of histamine in rats.",42
"115","Proceedings: Response of identified ventromedial hypothalamic nucleus neurons to putative neurotransmitters applied by microiontophoresis.",42
"116","Proceedings: The mechanism of ""adrenaline reversal"" in the anaesthetized cat and rabbit.",42
"117","Proceedings: Is ATP an inhibitory neurotransmitter in the rat stomach.",42
"118","Proceedings: Comparison of the effects of selective alpha and beta-receptor agonists on intracellular cyclic AMP levels and glycogen phosphorylase activity in guinea-pig liver.",42
"119","Proceedings: The role of dopamine in rotational behaviour produced by unilateral lesions of the locus coeruleus.",42
"120","Proceedings: Do anti-psychotic drugs act by dopamine receptor blockade in the nucleus accumbens.",42
"121","Proceedings: Evaluation of narcotic and narcotic antagonist analgesic drugs in the dog dental pulp stimulation test.",42
"122","Meso-appendicular testis.",44
"123","The importance of an innervated and intact antrum and pylorus in preventing postoperative duodenogastric reflux and gastritis.",45
"124","Haemoglobin Rahere (beta Lys-Thr): A new high affinity haemoglobin associated with decreased 2, 3-diphosphoglycerate binding and relative polycythaemia.",46
"125","Endoscopic papillotomy and removal of gall stones.",47
"126","Phobias complicating treatment of uterine carcinoma.",48
"127","Editorial: Childhood poisoning: prevention and first-aid management.",49
"128","Inhibitory postsynaptic actions of taurine, GABA and other amino acids on motoneurons of the isolated frog spinal cord.",50
"129","The involvement of lysophosphoglycerides in neurotransmitter release; the composition and turnover of phospholipids of synaptic vesicles of guinea-pig cerebral cortex and Torpedo electric organ and the effect of stimulation.",51
"130","Uptake of radiolabeled glucose analogues by organotypic pia arachnoid cultures.",51
"131","Processing of tRNA precursors in higher organisms.",52
"132","Cardiac output response to altered acid-base status during diethyl ether anaesthesia.",53
"133","The prevention of autolysis of stored cornea using steroid as a lysosome membrane stabilizer.",54
"134","Respiratory effects of H+ and dinitrophenol injections into the brain stem subarachnoid space of fetal lambs.",55
"135","Soil fungistasis: elevation of the exogenous carbon and nitrogen requirements for spore germination by fungistatic volatiles in soils.",56
"136","Nitrofurazone-reducing enzymes in E. coli and their role in drug activation in vivo.",56
"137","Enzymatic hydrolysis of agar: purification and characterization of neoagarobiose hydrolase and p-nitrophenyl alpha-galactoside hydrolase.",56
"138","Temperature and pH optima for 21 species of thermophilic and thermotolerant fungi.",56
"139","Physiological differences among isolates of Phytophthora cinnamomi.",56
"140","Regulation and properties of an invertase from Clostridium pasteurianum.",57
"141","Characterization studies on the membrane-bound adenosine triphosphatase (ATPase) of Azotobacter vinelandii.",57
"142","Effects of zinc-smelter emissions on forest soil microflora.",57
"143","alpha-Naphthoflavone activation of 6-hydroxymethylbenzo(alpha)pyrene synthetase.",58
"144","Isolation and characterization of an unsubstituted 2,3-unsaturated sugar, trans-2,3-dideoxy-D-glycero-pent-2-enose, produced by thermal dehydration of 2-deoxy-D-erythro-pentose.",59
"145","Prophylactic antiarrhythmic drug therapy in acute myocardial infarction.",60
"146","[Influence of beta-blocking agents on experimental atherosclerosis of cocks (author's transl)].",61
"147","Cytotoxic interaction between gorgonian explants: mode of action.",62
"148","The effects of the continuous administration of N,N-dimethyl-4-phenylazoaniline (DAB) on the activities and the inducibilities of some drug-metabolizing enzymes in rat liver.",63
"149","Some characteristics of two azoreductase systems in rat liver. Relevance to the activity of 2-[4'-di(2""-bromopropyl)-aminophenylazo]benzoic acid (CB10-252), a compound possessing latent cytotoxic activity.",63
"150","Mercury inhibition of avian fatty acid synthetase complex.",63
"151","[Basic phospholipase of Naja nigricollis venom].",64
"152","[Spontaneous mortality and vascular lesions in 3 rat strains with different blood pressure levels].",64
"153","Effects of decreasing arterial blood pressure on cerebral blood flow in the baboon. Influence of the sympathetic nervous system.",65
"154","Influence of hematocrit, blood gas tensions, and pH on pressure-flow relations in the isolated canine lung.",65
"155","Interaction of the chemoreflex and the pulmonary inflation reflex in the regulation of coronary circulation in conscious dogs.",65
"156","Effect of coronary blood flow on glycolytic flux and intracellular pH in isolated rat hearts.",66
"157","Mechanisms of glycolytic inhibition in ischemic rat hearts.",66
"158","Comparison of contractile performance of canine atrial and ventricular muscles.",66
"159","Serum lactate dehydrogenase activity ratios with different substrates.",67
"160","Fluorometric assay for N-acetylprocainamide.",68
"161","Rapid kinetic measurement of lactate in plasma with a centrifugal analyzer.",68
"162","Improved high-resolution high-voltage paper electrophoresis system for use in screening for aminoacidopathies.",68
"163","Measurement of total alkaline phosphatase activity in human serum.",68
"164","Problems associated with the determination of arylsulfatase A and B using nitrocatechol sulfate substrate.",69
"165","A clinical method for the determination of serum gamma-glutamyl transpeptidase.",69
"166","[Inborn error of glycolipid metabolism].",70
"167","Treatment of renal hypertension.",71
"169","Some pharmacologic aspects of the antihistamines. A survey of current clinical applications.",72
"170","Anaerobic glycolysis in normal human erythrocytes incubated in vitro with sodium salicylate.",73
"168","Effects of graded infusions of monomethylmethacrylate on coagulation, blood lipids, respiration and circulation. An experimental study in dogs.",74
"171","Arterial catecholamines in hypoxic exercise in man.",73
"172","Meal to pellet intervals in 14 species of captive raptors.",75
"173","Secretion of sulfuric acid in Cassidaria echinophora Lamarck (Mollusca: Mesogastropoda, marine carnivorous snail).",75
"174","Studies on the lipid content of pigeon breast muscle.",75
"175","Seasonal variation in diet, volatile fatty acid production and size of the cecum of roch ptarmigan.",75
"176","The auditory system of the goldfish (Carassius auratus): effects of intense acoustic stimulation.",75
"177","Volatile fatty acids and metabolizable energy derived from cecal fermentation in the willow ptarmigan.",75
"178","A comparison of intestinal amino acid absorption in various avian and mammalian species.",75
"179","Holeuryhalinity and its mechanisms in a cirriped crustacean, Balanus improvisus.",75
"180","A comparative study on the regulation of osmotic, ionic and organic-solute concentrations in the blood of aquatic organisms.",75
"181","Aestivation and thermoregulation in the Texas tortoise, Gopherus berlandieri.",75
"182","The respiratory quotient of Gammarus pulex L.",75
"183","Water balance of small lactating rodents--II. Concentration and composition of milk of females on ad libitum and restricted water intakes.",75
"184","Insect morphogenetic hormones and developmental mechanisms in the nematode, Nematospiroides dubius.",75
"185","Osmotic interrelationship between blood and gut fluid in the isopod Porcellio scaber Latr. (Crustacea).",75
"186","Effects of thermal stimulation to the spinal cord on heart rate in cyprinid fishes.",75
"187","The long-term monitoring of ventilation rhythms of the polychaetous annelid Nereis virens sars.",75
"188","Diving bradycardia in four species of North American aquatic snakes.",75
"189","Respiratory responses of Gillichthys mirabilis to changes in temperature, dissolved oxygen and salinity.",75
"190","The pronephroi as the site of presumptive interrenal cells in the hagfish Myxine glutinosa L.",75
"191","Excreta analysis on additional cockroach species and the house cricket.",75
"192","Interrelationships between water and metabolism in Artemia cysts--II. Carbohydrates.",75
"193","Interrelationships between water and metabolism in Artemia cysts--III. Respiration.",75
"194","Studies on avian erythrocyte metabolism--I. Procedure for separation and quantitation of the major phosphorylated metabolic intermediates by anion exchange chromatography.",75
"195","Effect of different prostaglandins on the permeability of the toad urinary bladder.",76
"196","Evaluation of amplitude and frequency changes of miniature potentials with a poor signal-to-noise ratio.",76
"197","Practolol, caffeine and calcium in the regulation of mechanical activity of the cardiac ventricle in Myxine glutinosa (L.).",76
"198","Asymmetric distribution of aspartate in ganglia and single neurons of Aplysia.",76
"199","Electrophysiological actions of convulsants and anticonvulsants on neurons of the leech subesophageal ganglion.",76
"200","The relative importance of monoamine oxidase and catechol-O-methyl transferase on the physiologic response to administered norepinephrine in the turkey.",76
"201","The cardiac cycle and the effects of neurohumors on myocardial contractility in the Asiatic eel Anguilla japonica, Timm. & Schle.",76
"202","Characteristics of the noradrenergic innervation of the left atrium in the chick (Gallus gallus domesticus, L.).",76
"203","Responsiveness of neurogenic hearts to octopamine.",76
"204","Action of kainic acid on a glutamatergic synapse.",76
"205","The effects of 5-hydroxytryptamine depletors and monoamine oxidase inhibitors on color changes of the fiddler crab, Uca pugilator: further evidence in support of the hypothesis that 5-hydroxytryptamine controls the release of red pigment-dispersing hormone.",76
"206","Evidence of a gastrin-like substance in Rhinobatus productus.",76
"207","5-hydroxytryptamine as a possible inhibitory neurotransmitter in the central nervous system of the leech, Haemopis sanguisuga.",76
"208","Gastrin-like activity in an Indian python.",76
"209","Kinetics of antibody--hapten reactions.",77
"211","Effects of maleate on renal reabsorption of bicarbonate.",78
"212","Bicarbonate inhibition of rat kidney aconitate hydratase isoenzymes.",78
"210","Influence of pH and hypoxia on the success of defibrillation.",79
"213","Metabolic studies in experimental renal dysfunction resulting from maleate administration.",78
"214","Multiple endocrine adenomatosis-I and II.",80
"215","A randomized double-blind study of timolol in patients with essential hypertension.",81
"216","[Observation of permanent teeth adjacent to teeth damaged by trauma].",82
"217","Idiopathic hypertrophic subaortic stenosis (hypertrophic obstructive cardiomyopathy) changing concepts-1975.",83
"218","Pleural effusion associated with aortitis syndrome.",83
"219","The metabolic fate of securinine.",84
"220","[Transplantation and preservation of tissue-typized skin in burns].",85
"222","[Ability of antilymphocyte sera to counteract the allogeneic inhibition of hematopoietic stem cells].",86
"221","[Polyploidization and fusion of insect cells exposed to concanavalin A].",87
"223","[Microenvironment of enzymes as 1 of the factors determining enzyme stability. Stabilization of soluble and immobilized horseradish peroxidase].",86
"224","[3d regional meeting of the specialty field of supervisory nurses in Baden-Württemberg, Northern Group. June 25, 1975 in district hospital Heidenheim].",88
"225","[Adverse effects of anti-epileptic drugs].",89
"226","Charge properties of human pituitary and amniotic fluid prolactins.",90
"227","Human and monkey prolactin and growth hormone: separation of polymorphic forms by isoelectric focusing.",91
"228","The interaction of SO2 with proteins.",92
"229","Ecological observation of the 137Cs-contamination in beef of animals from the southern-Bavarian area.",93
"230","Liver microsomal beta-glucuronidase and UDP-glucuronyltransferase.",94
"231","Biochemical aspects of renal ammonia formation in metabolic acidosis.",95
"232","Studies on the mechanism of the changes in serum and liver gamma-glutamyl transpeptidase activity. I. Experimental extrahepatic cholestasis in rabbits.",96
"233","Studies on the mechanism of the changes in serum and liver gamma-glutamyl transpeptidase activity. II. Experimental hexachlorobenzene porphyria in rabbits.",96
"234","Changes in erythrocyte 2,3 diphosphoglycerate in women following short term maximal exercise.",97
"235","Hydroxylation of p-Coumaric acid by illuminated chloroplasts. The role of superoxide.",98
"236","Identification of chloride-binding sites in hemoglobin by nuclear-magnetic-resonance quadrupole-relaxation studies of hemoglobin digests.",98
"237","The internal-alkaline pH gradient, sensitive to uncoupler and ATPase inhibitor, in growing Clostridium pasteurianum.",98
"238","D-alanyl-D-alanine carboxypeptidase in the bacterial form and L-form of Proteus mirabilis.",98
"239","Pigeon-liver NAD kinase. The structural and kinetic basis of regulation of NADPH.",98
"240","Hydrogen ion changes and contractile behavior in the perfused rat heart.",99
"241","Changes of EEG and pulmonary venous admixture during a protein load in patients with cirrhosis.",100
"242","Formation of fertilization acid by sea urchin eggs does not require specific cations.",101
"243","Primary culture of parenchymal liver cells on collagen membranes. Morphological and biochemical observations.",101
"244","Cell transformation in isolated striated muscle of hydromedusae independent of DNA synthesis.",102
"245","Induction of DNA synthesis by dichloroisoproterenol without initial rise of the cAMP level in the parotid gland of mouse.",102
"246","Cell density-dependent stimulation of glutamine synthetase activity in cultured mouse teratoma cells.",102
"247","Polyadenylation of nascent RNA during the embryogenesis of Ilyanassa obsoleta.",103
"248","The effect of environmental pH upon acid hydrolase activities of cultured human diploid fibroblasts.",104
"249","Enucleation of cells by density gradient centrifugation.",104
"250","An evaluation of factors affecting the in vitro bioassay for erythropoietin.",105
"251","[Synthesis of N-substituted isoindolines].",106
"253","[Elements of scientific work organization in ambulance feldshers' functions].",107
"252","[Cryptorchism].",107
"254","[Participation of feldshers and midwives in the secret and partisan activities during the great patriotic war].",108
"255","[The organization of health education meetings, verbal reports, carnivals, reader's conferences].",108
"256","[Problems concerning the training of feldshers in foreign countries].",108
"257","[Mechanisms of the thermogenic action of noradrenaline during adaptation to cold].",109
"258","Response to exogenous gonadotropins in the unresponsive ovary syndrome.",110
"259","A comparative study of metal and plastic (Karman) cannulae for first trimester abortion by suction curettage.",110
"260","Acute bacterial myositis following septic abortion. An unusual complication.",110
"261","The binding of substrates and inhibitors to dihydrofolate reductase.",111
"262","Euglena gracilis deoxyribonucleic acid polymerases: subcellular locations and variations during the cell cycle.",111
"263","Monomer complexes of polyadenylic acid.",111
"264","5-Carbamoylmethyluridine: a new minor nucleoside of transfer ribonucleic acid.",111
"265","The protective effects of cephaloridine on rat kidney lysosomes in vitro.",111
"266","[In vitro studies on human ovarian contractility (author's transl)].",112
"267","[Studies on the energy for sperm motility (author's transl)].",112
"268","Properties of urophysial proteins (urophysins) from the white sucker, Catostomus commersoni.",113
"269","Glutamine synthetase in newborn mice homozygous for lethal albino alleles.",114
"270","Chromosomal basis of the merozygosity in a partially deploid mutant of Pneumococcus.",115
"271","Recombination as a requirement for segregation of a partially diploid mutant of Pneumococcus.",115
"272","[Extrabronchial effects of Bronchodilat in patients with asthma and chronic asthmatic bronchitis].",116
"273","Involvement of the small intestine in systemic mast cell disease.",117
"274","Gastric pH and microflora of normal and diarrhoeic infants.",118
"275","[Allogenic bone marrow transplantation in men].",119
"276","[Bone marrow transplantation in patients with aplastic anemia].",119
"277","[Analysis of clinical phenomena and changes in physico-chemical properties of the blood in mentally ill children].",120
"278","[Biphasic (ulcer-forming and ulcer-preventing) effect of adrenaline in rats].",121
"279","[Comparison of drug effects on the isolated rat colon and duodenum].",121
"280","[Monoamine oxidase (XXXVI). Characteristics of benzylamine oxidase in the dog serum].",121
"281","[Combined use of bucolome and pyrazolone derivatives (1). Pharmacological activities and blood concentration].",122
"282","[Combined use of bucolome and pyrazolone derivatives (II). Complex formation due to interaction between bucolome and pyrazolones].",122
"283","Fructose 1,6-bisphosphate aldolase activity of Rhizobium species.",123
"284","Prevention of cell agglutination and competence in a genetically transformable strain of Pneumococcus by D-glucosamine and D-galactosamine.",124
"285","Effect of some aldoses on growth of Saccharomyces cerevisiae inhibited with molybdenum.",124
"286","Transport properties of membrane vesicles from Acholeplasma laidlawii. II. Kinetic characteristics and specificity of glucose transport system.",124
"287","Transport of 4-deoxy- and 6-deoxy-D-glucose in baker's yeast.",124
"288","Gluconic acid production by Penicillium puberulum.",124
"289","A simple method of isolation and purification of cultures of wood-rotting fungi.",124
"290","The effect of CTAB, a cationic surfactant, on the absorption rate of [14C]tripalmitate from a test meal in the rat.",125
"291","[Language of the other].",126
"292","[Studies on low volume priming heart lung bypass (author's transl)].",127
"293","[Studies on extracorporeal circulation with large volume hemodilution using lactate ringer's solution and low molecular weight dextran: alterations of acid-base balance associated with intentional hemodilution (author's transl)].",127
"294","[Malignant rheumatoid arthritis].",128
"295","Purification and characterization of phosphodiesterase from Crotalus venom.",129
"296","Limited hydrolysis of tRNA by phosphodiesterase.",129
"297","Ecdysone Oxidase, an enzyme from the blowfly Calliphora erythrocephala (Meigen).",129
"298","Using a hospital for desensitization of an outpatient's illness-related fears.",130
"299","Analog computer for base excess and HCO3-from pH and PCO2 electrodes.",131
"300","Alcohol-related problems in a general hospital emergency room.",132
"301","Analysis of fatal blunt trauma presenting at an areawide trauma center.",132
"302","Surgical grand rounds: Ruptured abdominal aortic aneurysm.",132
"303","The psychological reactions of children to burn traumata: a review.",132
"304","EKG of the month.",132
"305","Relative severity of hemolysis in the subtypes of ABO incompatible hemolytic disease.",132
"306","The demise of the Hopewellian moundbuilders: a plausible conjecture.",132
"307","Digitalis as treatment for pulmonary comsumption, 1799.",132
"308","Aqueductal stenosis and Parinaud's syndrome.",132
"309","Time, money and the housestaff officer.",132
"310","Mitral valve prolapse in sarcoid heart disease.",132
"311","Jaundice after enflurane anesthesia.",133
"312","The psychological reactions of children to burn traumata: a review. Part II.",133
"313","Azygos venous connection of anomalous inferior vena cava.",133
"314","Second primary lung tumors.",133
"316","An improved gastrostomy technique.",133
"315","Penetrating injuries of the thorax: certain aspects of treatment.",133
"317","Basal cell epithelioma in smallpox vaccination scar-fifty years later.",133
"318","The adolescent who has lost a significant other.",133
"320","A small community blood bank frozen blood program. Twelve month report.",133
"319","EKG of the month.",133
"321","Utilization and referral patterns in the acute illness department of a multispecialty clinic.",133
"322","Cardiovascular effects of beta-receptor stimulants in healthy volunteers.",134
"323","Isoelectric distribution of specifically purified rabbit antibody against 4-azo-naphthalene-1-sulfonate.",135
"324","Studies of hyperimmune restricted and partially restricted anti-pneumococcal polysaccharide antibodies from allotype-defined pedigreed rabbits--IV. Amino-terminal light chain sequence analyses of restricted homozygous b4 rabbit anti-SIII and SVIII antibodies from partially inbred rabbits.",136
"325","Analysis of immunosuppression generated by the graft-versus-host reaction. I. A suppressor T-cell component studied in vivo.",137
"326","Schiff-type dyes in the cytochemical staining of DNA.",138
"327","Response of alanine, tyrosine & leucine aminotransferases to dietary pyridoxine & protein in rat tissues.",138
"328","A modified minimal medium for aspergillus nidulans.",138
"329","Pneumococcal type-associated variability in alternate complement pathway activation.",139
"330","Conditions for production, and some characteristics, of mycobacterial growth inhibitory factor produced by spleen cells from mice immunized with viable cells of the attenuated H37Ra strain of Mycobacterium tuberculosis.",139
"331","Effect of pneumococci on blood clotting, platelets, and polymorphonuclear leukocytes.",139
"332","Some properties of a D-alanine carboxypeptidase in envelope fractions of Neisseria gonorrhoeae.",140
"333","Phenomenon of hot-cold hemolysis: chelator-induced lysis of sphingomyelinase-treated erythrocytes.",140
"334","Host defense against the pneumococcus in T-lymphocyte-deficient, nude mice.",140
"335","[The women don't know how to talk in Mexico].",141
"336","In vitro antagonism of the mediators of allergy by a benzopyrano-benzopyran carboxylic acid PR-D-92-EA.",142
"337","Tyrosine aminotransferase induction in normal and tumor-bearing chickens.",143
"338","A behavior modification training program for staff working with drug addicts.",144
"339","A kinetic study of the hydrolysis of N-acetyl dehydroalanine methyl ester.",145
"340","The ophthalmologist's office: planning and practice. Patient traffic flow and use of paramedical personnel.",146
"341","Behaviour therapy and personality change.",147
"342","Computer evaluation of the effect of urecholine on the spontaneous activity of smooth muscle from the urinary bladder of the rabbit.",148
"343","Characteristics of the non-occluded form of a nuclear polyhedrosis virus.",149
"344","Degradation of myxovirus virion RNA by periodate.",149
"345","Failure of rubella virus to replicate in mosquitos.",149
"346","Treatment of severe hypertension with minoxidil.",150
"347","The influence of injection route and pH value on the activity ratio of yttrium-90 to strontium-90 in the rat skeleton after 90Sr incorporation.",151
"350","[Parotid secretion and its pharmacologically induced variants (author's transl)].",152
"348","Medical approach to the hypotensive patient and the patient in shock.",153
"349","Acute renal failure.",154
"351","Analyses of rumen fluid from ""sudden death"", lactic acidotic and healthy cattle fed high concentrate ration.",155
"352","Mitochondrial traits of muscle from stress-susceptible pigs.",155
"353","Local control of pulmonary resistance and lung compliance in the canine lung.",156
