"journal_issue_id","citedMedium","volume","issue","publication_date","journal_sk"
60,"Print","7","2","1975-01-01",34
61,"Print","114","43","1975-10-24",35
62,"Print","19","2","1975-10-01",36
63,"Print","11","5","1975-11-01",37
64,"Print","280","13","1975-04-07",38
65,"Print","37","5","1975-11-01",39
66,"Print","37","6","1975-12-01",39
67,"Print","8","5","1975-10-01",40
68,"Print","21","13","1975-12-01",41
69,"Print","65","1","1975-11-15",42
70,"Print","23","9","1975-09-01",43
71,"Print","4","5","1975-11-01",44
72,"Print","14","12","1975-12-01",45
73,"Print","49","5","1975-11-01",46
74,"Print","","113","1975-11-01",47
75,"Print","53","1","1976-01-01",48
76,"Print","52","1","1975-10-01",49
77,"Print","4","","1975-01-01",50
78,"Print","4","","1975-01-01",51
79,"Print","3","4","1975-07-01",52
80,"Print","","","1975-08-01",53
81,"Print","18","4","1975-10-01",54
82,"Print","28","11","1975-11-01",55
83,"Print","68","6","1975-12-01",56
84,"Print","1","3","1975-05-01",57
85,"Print","46","7","1975-07-01",58
86,"Print","223","5","1975-08-11",59
87,"Print","223","1","1975-07-01",59
88,"Print","28","9","1975-09-01",60
89,"Print","100","38","1975-09-19",61
90,"Print","2","6-7","1975-01-01",62
91,"Print","97","4","1975-10-01",63
92,"Print","9","3","1975-01-01",64
93,"Print","4","","1975-01-01",65
94,"Print","20","5","1975-01-01",66
95,"Print","20","6","1975-01-01",66
96,"Print","21","1","1976-01-01",66
97,"Print","34","4","1975-12-05",67
98,"Print","55","2","1975-07-01",68
99,"Print","3","4","1975-12-01",69
100,"Print","5","6","1975-11-21",70
101,"Print","94","1","1975-08-01",71
102,"Print","94","2","1975-09-01",71
103,"Print","95","2","1975-10-15",71
104,"Print","96","2","1975-12-01",71
105,"Print","3","6","1975-11-01",72
106,"Print","30","11","1975-11-01",73
107,"Print","40","10","1975-10-01",74
108,"Print","40","9","1975-09-01",74
109,"Print","61","11","1975-11-01",75
110,"Print","13","1","1975-01-01",76
111,"Print","3","5","1975-01-01",77
112,"Print","20","4","1975-10-01",78
113,"Print","3","4","1975-10-01",79
114,"Print","45","2","1975-08-01",80
115,"Print","80","4","1975-08-01",81
116,"Print","43","11","1975-11-01",82
117,"Print","16","11","1975-11-01",83
118,"Print","16","9","1975-09-01",83
119,"Print","16","","1975-01-01",84
120,"Print","17","3","1975-01-01",85
121,"Print","71","5","1975-07-01",86
122,"Print","71","6","1975-09-01",86
123,"Print","20","5","1975-01-01",87
124,"Print","20","6","1975-01-01",87
125,"Print","13","5","1975-10-01",88
126,"Print","93","34","1975-12-04",89
127,"Print","50","2","1975-03-01",90
128,"Print","50","3","1975-05-01",90
129,"Print","356","7","1975-07-01",91
130,"Print","26","10","1975-10-01",92
131,"Print","23","1","1976-01-01",93
132,"Print","148","5","1975-11-01",94
133,"Print","148","6","1975-12-01",94
134,"Print","27","3","1975-07-01",95
135,"Print","12","3","1975-03-01",96
136,"Print","12","4","1975-04-01",96
137,"Print","29","6","1975-12-01",97
138,"Print","13","2","1975-03-01",98
139,"Print","12","4","1975-10-01",99
140,"Print","12","5","1975-11-01",99
141,"Print","17","9","1975-09-01",100
142,"Print","49","6","1975-01-01",101
143,"Print","16","6","1975-12-15",102
144,"Print","10","6","1975-01-01",103
145,"Print","7","6","1975-01-01",104
146,"Print","15","2","1975-06-01",105
147,"Print","21","2","1975-06-01",106
148,"Print","13","3","1975-11-01",107
149,"Print","5","3-4","1975-01-01",108
150,"Print","11","10","1975-10-01",109
151,"Print","29","5","1975-11-01",110
152,"Print","23","8","1975-08-01",111
153,"Print","4","4","1975-07-01",112
154,"Print","4","6","1975-11-01",112
155,"Print","41","5","1975-11-01",113
156,"Print","39","4","1975-10-01",114
157,"Print","58","6","1975-11-01",115
158,"Print","23","8","1975-08-01",116
159,"Print","124","3","1975-12-01",117
160,"Print","78","1","1975-07-01",118
161,"Print","250","21","1975-11-10",119
162,"Print","250","22","1975-11-25",119
163,"Print","250","23","1975-12-10",119
164,"Print","250","24","1975-12-25",119
165,"Print","251","1","1976-01-10",119
166,"Print","16","5","1975-09-01",120
167,"Print","16","6","1975-11-01",120
168,"Print","67","2PT.1","1975-11-01",121
169,"Print","67","3","1975-12-01",121
170,"Print","86","2 Pt 1","1975-10-01",122
171,"Print","86","2 PT 2 SUPPL 1","1975-10-01",122
172,"Print","86","3 Pt 1","1975-12-01",122
173,"Print","52","12","1975-12-01",123
174,"Print","","21","1975-01-01",124
175,"Print","114","2","1975-11-26",125
176,"Print","115","1","1975-12-10",125
177,"Print","2","5","1975-11-01",126
178,"Print","56","6","1975-12-01",127
179,"Print","89","5","1975-07-01",128
180,"Print","15","11-12","1975-11-01",129
181,"Print","58","11","1975-11-01",130
182,"Print","43","6","1975-12-01",131
183,"Print","54","6","1975-11-01",132
184,"Print","68","6","1975-12-01",133
185,"Print","23","6","1975-11-01",134
186,"Print","97","25","1975-12-10",135
187,"Print","74","12","1975-08-01",136
188,"Print","4 SUPPL 2","","1975-01-01",137
189,"Print","23","12","1975-12-01",138
190,"Print","21","12","1975-12-01",139
191,"Print","132","6","1975-12-01",140
192,"Print","23","7","1975-07-01",141
193,"Print","64","6","1975-06-10",142
194,"Print","16","6","1975-11-01",143
195,"Print","3","10","1975-11-01",144
196,"Print","66","3","1975-09-01",145
197,"Print","63","2","1975-10-01",146
198,"Print","142","6","1975-12-01",147
199,"Print","194","1","1975-10-01",148
200,"Print","194","2","1975-11-01",148
201,"Print","74","4","1975-04-01",149
202,"Print","74","5","1975-05-01",149
203,"Print","74","7","1975-07-01",149
204,"Print","65","6","1975-06-01",150
205,"Print","66","6","1975-12-01",150
206,"Print","90","2","1975-10-01",151
207,"Print","91","1","1975-11-01",151
208,"Print","161","6","1975-12-01",152
209,"Print","25","5","1975-11-01",153
210,"Print","44","1","1976-01-01",154
211,"Print","7","2","1975-12-01",155
212,"Print","105","11","1975-11-01",156
213,"Print","105","12","1975-12-01",156
214,"Print","40","26","1975-12-26",157
215,"Print","3","1","1975-01-01",158
216,"Print","64","11","1975-11-01",159
217,"Print","195","3","1975-12-01",160
218,"Print","251","3","1975-10-01",161
219,"Print","252","1","1975-10-01",161
220,"Print","22","4","1975-11-01",162
221,"Print","25","159","1975-10-01",163
222,"Print","18","12","1975-12-01",164
223,"Print","12","4","1975-10-31",165
224,"Print","50","12 pt 2","1975-12-01",166
225,"Print","23","3-4","1975-01-01",167
226,"Print","24","2","1975-11-07",167
227,"Print","104","3","1975-08-01",168
228,"Print","96","4","1975-08-25",169
229,"Print","98","3","1975-11-05",169
230,"Print","98","4","1975-11-15",169
231,"Print","15","11","1975-11-01",170
232,"Print","16","6","1975-12-01",171
233,"Print","114","6","1975-12-01",172
234,"Print","11","4","1975-10-01",173
235,"Print","234","13","1975-12-29",174
236,"Print","235","2","1976-01-12",174
237,"Print","235","3","1976-01-19",174
238,"Print","33","7","1975-07-10",175
239,"Print","30","3","1975-08-01",176
240,"Print","28","3","1975-06-01",177
241,"Print","31","6","1975-06-01",178
242,"Print","66","8","1975-08-01",179
243,"Print","80","7-8","1975-08-01",180
244,"Print","23","3","1975-07-01",181
245,"Print","15","8","1975-08-01",182
246,"Print","8","5","1975-11-01",183
247,"Print","","","1975-09-01",184
248,"Print","53","10","1975-05-15",185
249,"Print","53","12","1975-06-15",185
250,"Print","53","17","1975-09-01",185
251,"Print","71","11","1975-11-01",186
252,"Print","36","11","1975-11-01",187
253,"Print","53","1","1975-09-01",188
254,"Print","53","2","1975-09-01",188
255,"Print","13","3","1975-05-01",189
256,"Print","4","3-4","1975-05-01",190
257,"Print","13","6","1975-11-01",189
258,"Print","72","48","1975-11-26",191
259,"Print","16","10","1975-05-15",192
260,"Print","17","6","1975-09-15",192
261,"Print","17","7","1975-10-10",192
262,"Print","17","8","1975-10-15",192
263,"Print","10","11","1975-11-01",193
264,"Print","38","5","1975-09-01",194
265,"Print","20","9","1975-09-01",195
266,"Print","103","11","1975-11-01",196
267,"Print","26","43","1975-10-24",197
268,"Print","26","47","1975-11-21",197
269,"Print","3","","1975-01-01",198
270,"Print","35","4","1975-07-01",199
271,"Print","12","","1975-01-01",200
272,"Print","2","14","1975-10-04",201
273,"Print","70","45","1975-11-07",202
274,"Print","4","6","1975-12-01",203
275,"Print","6","","1975-01-01",204
276,"Print","9","2","1975-11-14",205
277,"Print","9","3","1975-12-31",205
278,"Print","2","3","1975-10-01",206
279,"Print","294","1","1976-01-01",207
280,"Print","294","2","1976-01-08",207
281,"Print","294","3","1976-01-15",207
282,"Print","294","4","1976-01-22",207
283,"Print","258","5532","1975-11-20",208
284,"Print","258","5534","1975-12-04",208
285,"Print","258","5535","1975-12-11",208
286,"Print","62","7","1975-07-01",209
287,"Print","62","8","1975-08-01",209
288,"Print","291","1","1975-01-01",210
289,"Print","291","2","1975-01-01",210
290,"Print","22","4","1975-01-01",211
291,"Print","15","6","1975-01-01",212
292,"Print","16","1","1976-01-01",212
293,"Print","16","2","1976-01-01",212
294,"Print","16","3","1976-01-01",212
295,"Print","14","10","1975-10-01",213
296,"Print","9","6","1975-11-01",214
297,"Print","140","12","1975-12-01",215
298,"Print","6","1","1976-01-01",216
299,"Print","27","11","1975-11-01",217
300,"Print","10","2","1975-01-01",218
301,"Print","71","3","1975-12-01",219
302,"Print","7","3","1975-07-01",220
303,"Print","9","9","1975-09-01",221
304,"Print","50","12","1975-12-01",222
305,"Print","","6","1975-11-01",223
306,"Print","18","3","1975-03-01",224
307,"Print","356","1","1975-04-09",225
308,"Print","358","2","1975-07-21",225
309,"Print","4","33","1975-10-11",226
310,"Print","4","34","1975-10-15",226
311,"Print","4","38","1975-11-08",226
312,"Print","4","39","1975-11-15",226
313,"Print","54","5","1975-11-01",227
314,"Print","30","47","1975-11-24",228
315,"Print","215","1288","1975-10-01",229
316,"Print","215","1289","1975-11-01",229
317,"Print","11","","1975-01-01",230
318,"Print","72","10","1975-10-01",231
319,"Print","72","11","1975-11-01",231
320,"Print","68","4","1975-04-01",232
321,"Print","68","8","1975-08-01",232
322,"Print","68","9","1975-09-01",232
323,"Print","50","10","1975-01-01",233
324,"Print","30","10","1975-10-01",234
325,"Print","7","5","1975-01-01",235
326,"Print","12","1","1975-01-01",236
327,"Print","12","3","1975-01-01",236
328,"Print","24","6","1975-01-01",237
329,"Print","27","5","1975-05-01",238
330,"Print","37","3 Pt 1","1975-12-01",239
331,"Print","9","6","1975-11-01",240
332,"Print","44","1","1975-10-14",241
333,"Print","44","2","1975-10-31",241
334,"Print","11","4","1975-10-01",242
335,"Print","37","6","1975-11-01",243
336,"Print","26","2","1975-01-01",244
337,"Print","8","3","1975-07-01",245
338,"Print","64","3","1975-12-01",246
339,"Print","42","","1975-01-01",247
340,"Print","29","3","1975-01-01",248
341,"Print","20","12","1975-10-01",249
342,"Print","18","4","1976-01-01",250
343,"Print","6","","1975-01-01",251
344,"Print","61","5","1975-07-01",252
345,"Print","31","","1975-01-01",253
346,"Print","12","2","1975-10-01",254
347,"Print","12","3","1975-11-01",254
348,"Print","166","2","1975-12-11",255
349,"Print","4","2","1975-01-01",256
350,"Print","24","1","1975-06-01",257
351,"Print","25","2","1975-11-01",257
352,"Print","27","2","1975-03-01",258
353,"Print","27","3","1975-05-01",258
354,"Print","27","4","1975-07-01",258
355,"Print","83","6","1975-11-01",259
356,"Print","20","1","1975-01-01",260
357,"Print","35","","1975-01-01",261
358,"Print","15","4","1975-11-01",262
359,"Print","","43","1975-01-01",263
360,"Print","13","8","1975-08-15",264
361,"Print","68","12","1975-12-01",265
362,"Print","","8","1975-08-01",266
363,"Print","49","46","1975-11-01",267
364,"Print","49","49","1975-11-15",267
365,"Print","50","19","1975-10-07",268
366,"Print","50","23-24","1975-12-09",268
367,"Print","6","10","1975-10-01",269
368,"Print","142","1","1976-01-01",270
369,"Print","75","36","1975-09-10",271
370,"Print","75","38","1975-09-24",271
371,"Print","75","40","1975-10-08",271
372,"Print","75","49","1975-12-10",271
373,"Print","34","2","1975-11-15",272
374,"Print","7","4","1975-10-01",273
375,"Print","42","22","1975-12-18",274
376,"Print","7","6","1975-12-01",273
377,"Print","100","20","1975-10-15",275
378,"Print","23","5","1975-10-01",276
379,"Print","28","23","1975-11-18",277
380,"Print","3","1","1975-01-01",278
381,"Print","34","1","1975-10-01",279
382,"Print","6","6","1975-11-01",280
383,"Print","7","4","1975-12-01",281
384,"Print","15","5","1975-09-01",282
385,"Print","","18","1975-01-01",283
386,"Print","47","1","1975-01-01",284
387,"Print","47","5","1975-09-01",284
388,"Print","47","6","1975-11-01",284
389,"Print","137","51","1975-12-15",285
390,"Print","30","6","1975-01-01",286
391,"Print","114","9","1975-09-01",287
392,"Print","115","10","1975-10-01",287
393,"Print","20","7","1975-07-01",288
394,"Print","97","24","1975-12-13",289
395,"Print","12","10","1975-01-01",290
396,"Print","68","2","1975-12-01",291
397,"Print","21","11","1975-11-01",292
398,"Print","28","24","1975-12-15",293
399,"Print","15","6","1975-01-01",294
400,"Print","","2","1975-03-01",295
401,"Print","51","29","1975-10-20",296
402,"Print","51","31","1975-11-10",296
403,"Print","69","10","1975-05-15",297
404,"Print","30","19","1975-10-01",298
405,"Print","30","7","1975-04-01",298
406,"Print","50","12","1975-06-15",299
407,"Print","13","10","1975-10-01",300
408,"Print","13","12","1975-12-01",300
409,"Print","84","3","1975-11-25",301
410,"Print","Suppl 2","","1975-01-01",302
411,"Print","16","5","1975-01-01",303
412,"Print","89","1","1975-01-01",304
413,"Print","68","10","1975-10-01",305
414,"Print","25","3","1975-05-01",306
415,"Print","66","1","1976-01-01",307
416,"Print","130","4","1975-01-01",308
417,"Print","130","5","1975-01-01",308
418,"Print","100","22","1975-01-01",309
419,"Print","97","22","1975-01-01",310
420,"Print","232","4","1975-08-01",311
421,"Print","15","4","1975-01-01",312
422,"Print","","8","1975-08-01",313
423,"Print","0","9","1975-09-01",313
424,"Print","34","6","1975-01-01",314
425,"Print","34","7","1975-01-01",314
426,"Print","29","8","1975-01-01",315
427,"Print","17","3","1975-09-01",316
428,"Print","30","6","1975-12-01",317
429,"Print","83","6","1975-12-01",318
430,"Print","80","5-6","1975-11-01",319
431,"Print","37","5","1975-11-01",320
432,"Print","12","4","1975-01-01",321
433,"Print","43","","1975-01-01",322
434,"Print","62","","1975-01-01",323
435,"Print","64","","1975-01-01",323
436,"Print","13","","1975-01-01",324
437,"Print","71","2","1975-03-01",325
438,"Print","90","6","1975-12-01",326
439,"Print","102","5","1975-11-01",327
440,"Print","123","7","1975-12-01",328
441,"Print","52","9","1975-09-01",329
442,"Print","229","5","1975-11-01",330
443,"Print","132","12","1975-12-01",331
444,"Print","65","12","1975-12-01",332
445,"Print","24","6 Pt 1","1975-11-01",333
446,"Print","24","8","1975-08-01",334
447,"Print","68","2","1975-10-01",335
448,"Print","80","","1975-11-01",336
449,"Print","100","1196","1975-11-01",337
450,"Print","44","1","1976-01-01",338
451,"Print","36","12","1975-12-01",339
452,"Print","112","6","1975-12-01",340
453,"Print","83","5","1975-11-01",341
454,"Print","83","6","1975-12-01",341
455,"Print","258","","1975-09-30",342
456,"Print","259","","1975-08-22",342
457,"Print","57","5","1975-11-01",343
458,"Print","30","5","1975-11-01",344
459,"Print","171","2","1975-12-01",345
460,"Print","111","12","1975-12-01",346
461,"Internet","50","8","1975-08-01",347
462,"Print","253","3","1975-10-29",348
463,"Print","254","1","1975-11-14",348
464,"Print","105","2","1975-10-27",349
465,"Print","29","2","1975-01-01",350
466,"Print","32","11","1975-11-01",351
467,"Print","45","2","1975-01-01",352
468,"Print","308","10","1975-10-01",353
469,"Print","110","12","1975-12-01",354
470,"Print","34","2","1975-10-20",355
471,"Print","37","4","1975-01-01",356
472,"Print","32","12","1975-12-01",357
473,"Print","51","10","1975-10-01",358
474,"Print","13","9-10","1975-10-01",359
475,"Print","19","4","1975-10-01",360
476,"Print","148","3","1975-06-01",361
477,"Print","149","3","1975-09-01",361
478,"Print","150","1","1975-07-01",361
479,"Print","13","3","1975-07-01",1
480,"Print","67","1","1975-11-03",2
481,"Print","67","2","1975-11-17",2
482,"Print","67","3","1975-12-01",2
483,"Print","67","4","1975-12-15",2
484,"Print","25","10","1975-10-01",4
485,"Print","25","11","1975-11-01",4
486,"Print","54","2","1975-06-26",362
487,"Print","114","1","1975-01-01",363
488,"Print","29","11","1975-11-01",6
489,"Print","56","1","1975-02-01",364
490,"Print","93","5","1975-11-01",7
491,"Print","35","1","1976-01-01",9
492,"Print","14","26","1975-12-30",10
493,"Print","409","3","1975-12-17",11
494,"Print","410","2","1975-12-18",11
495,"Print","419","1","1976-01-08",11
496,"Print","20","5","1975-09-01",12
497,"Print","57","6-7","1975-01-01",365
498,"Print","40","2","1975-03-01",366
499,"Print","40","3","1975-05-01",366
500,"Print","40","4","1975-07-01",366
501,"Print","13","5","1975-12-01",367
502,"Print","10","12","1975-12-01",368
503,"Print","15","1","1976-01-01",369
504,"Print","7","2","1975-10-01",370
505,"Print","17","12","1975-12-01",371
506,"Print","12","3-4","1975-06-01",372
507,"Print","47","1","1976-01-01",373
508,"Print","31","6","1975-12-01",374
509,"Print","14","5","1975-11-01",17
510,"Print","14","6","1975-12-01",17
511,"Print","52","1","1976-01-01",375
512,"Print","55","3","1975-11-01",21
513,"Print","29","6","1975-11-01",376
514,"Print","127","","1975-11-01",377
515,"Print","1","6001","1976-01-10",25
516,"Print","4","5996","1975-12-06",25
517,"Print","4","5997","1975-12-13",25
518,"Print","101","2","1976-01-16",26
519,"Print","101","3","1976-01-23",26
520,"Print","53","10","1975-10-01",378
521,"Print","19","1","1976-01-01",379
522,"Print","53","9","1975-09-01",380
523,"Print","21","11","1975-11-01",381
524,"Print","59","3","1975-05-01",382
525,"Print","21","8","1975-08-01",381
526,"Print","59","5","1975-09-01",382
527,"Print","20","1","1975-11-01",36
528,"Print","20","2","1975-12-01",36
529,"Print","30","7-8","1975-08-01",383
530,"Print","38","2","1976-02-01",39
531,"Print","22","1","1976-01-01",41
532,"Print","65","3","1975-12-15",42
533,"Print","66","2","1976-01-16",42
534,"Print","19","3","1975-03-01",384
535,"Print","4","4","1975-11-01",385
536,"Print","18","6","1975-12-01",386
537,"Print","19","1","1976-01-01",386
538,"Print","49","6","1975-12-01",46
539,"Print","52","4","1975-12-01",48
540,"Print","14","3","1975-07-01",387
541,"Print","52","4","1975-12-15",388
542,"Print","17","3","1975-01-01",389
543,"Print","18","5","1975-11-01",54
544,"Print","19","1","1976-01-01",54
545,"Print","46","11","1975-11-01",58
546,"Print","37","1","1976-01-01",390
547,"Print","37","2","1976-02-01",390
548,"Print","224","6","1975-10-21",59
549,"Print","225","2","1975-11-11",59
550,"Print","225","3","1975-11-21",59
551,"Print","3","6","1975-11-01",391
552,"Print","14","1","1976-01-02",392
553,"Print","101","3","1976-01-16",61
554,"Print","83","1","1976-01-05",393
555,"Print","10","5-6","1975-01-01",394
556,"Print","91","11","1975-01-01",395
557,"Print","52","10","1975-10-01",396
558,"Print","97","6","1975-12-01",63
559,"Print","10","1","1975-01-01",64
560,"Print","16","4","1975-11-01",397
561,"Print","59","1","1975-11-01",68
562,"Print","59","2","1975-11-15",68
563,"Print","253","1","1975-12-01",161
564,"Print","60","1","1975-12-01",68
565,"Print","60","2","1975-12-15",68
566,"Print","61","1","1976-01-02",68
567,"Print","97","","1976-01-01",71
568,"Print","21","5","1975-11-01",398
569,"Print","21","6","1975-12-01",398
570,"Print","10","5","1975-01-01",399
571,"Print","49","3","1975-12-01",400
572,"Print","31","11","1975-11-15",401
573,"Print","30","11","1975-11-01",402
574,"Print","61","1","1976-01-01",403
575,"Print","61","10","1975-10-01",75
576,"Print","61","7","1975-06-01",75
577,"Print","21","6","1975-01-01",404
578,"Print","47","1","1975-11-01",80
579,"Print","13","4","1975-01-01",405
580,"Print","4","1","1975-12-01",79
581,"Print","52","12","1975-12-01",406
582,"Print","53","1","1976-01-01",406
583,"Print","11","4","1975-08-01",407
584,"Print","11","6","1975-12-01",407
585,"Print","70","1","1976-01-01",408
586,"Print","81","1","1975-09-01",81
587,"Print","81","2","1975-10-01",81
588,"Print","16","1 Pt1","1976-02-01",409
589,"Print","38","228","1975-10-01",410
590,"Print","16","10","1975-10-01",83
591,"Print","4","2","1975-01-01",411
592,"Print","43","5","1975-05-01",412
593,"Print","356","11","1975-11-01",91
594,"Print","27","1","1976-01-01",92
595,"Print","30","1","1975-10-20",413
596,"Print","12","10","1975-10-01",96
597,"Print","12","8","1975-08-01",96
598,"Print","13","4","1975-07-01",98
599,"Print","2","6","1975-12-01",414
600,"Print","12","6","1975-12-01",99
601,"Print","3","4","1975-01-01",415
602,"Print","13","4","1975-12-01",416
603,"Print","5","3","1975-01-01",417
604,"Print","12","4","1975-12-01",418
605,"Print","18","","1975-01-01",419
606,"Print","15","1","1976-01-01",420
607,"Print","7","3","1975-01-01",421
608,"Print","15","2","1976-02-01",422
609,"Print","13","4","1976-01-01",107
610,"Print","11","11","1975-11-01",109
611,"Print","30","2","1976-02-01",110
612,"Print","10","1","1975-03-01",423
613,"Print","","124","1975-01-01",424
614,"Print","28","12","1975-12-01",425
615,"Print","5","1","1976-01-01",112
616,"Print","41","6","1975-12-01",113
617,"Print","39","3","1975-12-01",426
618,"Print","1","4","1975-12-01",427
619,"Print","125","1","1976-01-01",117
620,"Print","125","2","1976-02-01",117
621,"Print","251","2","1976-01-25",119
622,"Print","87","1","1976-01-01",122
623,"Print","17","1","1976-01-01",120
624,"Print","","22","1975-01-01",124
625,"Print","","23","1975-01-01",124
626,"Print","115","2","1975-12-24",125
627,"Print","116","1","1976-01-07",125
628,"Print","116","2","1976-01-21",125
629,"Print","41","06","1975-12-01",428
630,"Print","2","6","1975-12-01",126
631,"Print","58","12","1975-12-01",130
632,"Print","55","","1976-01-01",132
633,"Print","85","1","1976-02-01",429
634,"Print","55","1","1976-01-01",132
635,"Print","24","1","1976-01-01",134
636,"Print","24","2","1975-12-01",430
637,"Print","56","6","1975-12-01",431
638,"Print","98","2","1976-01-21",135
639,"Print","98","3","1976-02-04",135
640,"Print","98","4","1976-02-18",135
641,"Print","49","4","1975-12-01",432
642,"Print","19","4","1975-01-01",433
643,"Print","116","1","1976-01-01",434
644,"Print","66","02","1976-02-01",435
645,"Print","133","1","1976-01-01",140
646,"Print","87","1","1976-01-01",436
647,"Print","87","2","1976-02-01",436
648,"Print","58","12","1975-12-01",437
649,"Print","62","2","1975-04-01",146
650,"Print","62","3","1975-06-01",146
651,"Print","67","1","1976-01-01",150
652,"Print","91","2","1975-12-01",151
653,"Print","92","1","1976-01-01",151
654,"Print","29","3","1975-12-01",438
655,"Print","162","1","1976-01-01",152
656,"Print","25","6","1975-12-01",153
657,"Print","44","2","1976-02-01",154
658,"Print","15","1","1976-01-01",439
659,"Print","106","1","1976-01-01",156
660,"Print","21","3","1975-01-01",440
661,"Print","88","1","1976-01-01",441
662,"Print","11","1","1976-02-01",442
663,"Print","30","2","1975-03-01",443
664,"Print","27","11","1975-11-01",444
665,"Print","30","3","1975-05-01",443
666,"Print","64","12","1975-12-01",159
667,"Print","196","1","1976-01-01",160
668,"Print","252","2","1975-11-01",161
669,"Print","252","3","1975-11-01",161
670,"Print","70","3","1975-11-01",445
671,"Print","45","2","1975-11-01",446
672,"Print","45","3","1975-12-01",446
673,"Print","","23","1975-10-01",447
674,"Print","15","5","1975-11-01",448
675,"Print","2","4","1975-12-01",449
676,"Print","19","1","1976-01-01",164
677,"Print","7","11","1975-11-01",450
678,"Print","6","3","1975-11-04",451
679,"Print","6","4","1975-12-29",451
680,"Print","55","5","1975-11-01",452
681,"Print","55","6","1975-12-01",452
682,"Print","1","3","1976-01-01",453
683,"Print","235","4","1976-01-26",174
684,"Print","81","7-8","1975-07-01",454
685,"Print","235","5","1976-02-02",174
686,"Print","33","10","1975-10-01",175
687,"Print","23","11","1975-11-01",455
688,"Print","25","4","1975-01-01",456
689,"Print","25","4","1975-08-01",457
690,"Print","137","6","1975-12-01",458
691,"Print","27","11","1975-11-01",459
692,"Print","15","7","1975-07-01",182
693,"Print","8","6","1975-12-01",183
694,"Print","167","4","1975-10-01",460
695,"Print","167","5","1975-11-01",460
696,"Print","9","4","1975-07-01",461
697,"Print","9","6","1975-11-01",461
698,"Print","54","2","1975-10-01",188
699,"Print","55","1","1975-11-01",188
700,"Print","18","4","1975-01-01",462
701,"Print","53","5","1975-10-01",463
702,"Print","4","4","1975-01-01",464
703,"Print","Suppl","","1975-01-01",465
704,"Print","339","","1975-11-01",465
705,"Print","20","9","1975-11-01",466
706,"Print","17","10","1975-11-15",192
707,"Print","17","11","1975-12-01",192
708,"Print","17","5","1975-09-01",192
709,"Print","17","9","1975-11-01",192
710,"Print","10","12","1975-12-01",193
711,"Print","7","3","1975-08-01",467
712,"Print","26","49","1975-12-05",197
713,"Print","27","1","1976-01-02",197
714,"Print","55","1","1976-01-01",468
715,"Print","25","1","1976-01-01",469
716,"Print","44","5","1975-09-01",470
717,"Print","2","16","1975-10-18",201
718,"Print","70","23","1975-06-06",202
719,"Print","70","48","1975-11-28",202
720,"Print","70","50","1975-12-12",202
721,"Print","59","1","1976-01-01",471
722,"Print","5","1","1976-01-01",203
723,"Print","5","2","1976-02-01",203
724,"Print","11","6","1975-11-01",472
725,"Print","78","11","1975-11-01",473
726,"Print","294","12","1976-03-18",207
727,"Print","43","1","1976-01-01",474
728,"Print","294","7","1976-02-12",207
729,"Print","294","9","1976-02-26",207
