"journal_sk","journal_title","journal_iso_abbreviation"
49,"Comparative biochemistry and physiology. C: Comparative pharmacology","Comp Biochem Physiol C Comp Pharmacol"
50,"Contemporary topics in molecular immunology","Contemp Top Mol Immunol"
51,"Current problems in clinical biochemistry","Curr Probl Clin Biochem"
52,"Critical care medicine","Crit Care Med"
53,"Current problems in surgery","Curr Probl Surg"
54,"Current therapeutic research, clinical and experimental","Curr Ther Res Clin Exp"
55,"Czasopismo stomatologiczne","Czas Stomatol"
56,"Chest","Chest"
57,"Chinese medical journal","Chin Med J (Engl)"
58,"Der Chirurg; Zeitschrift fur alle Gebiete der operativen Medizen","Chirurg"
59,"Doklady Akademii nauk SSSR","Dokl Akad Nauk SSSR"
60,"Deutsche Krankenpflegezeitschrift","Dtsch Krankenpflegez"
61,"Deutsche medizinische Wochenschrift (1946)","Dtsch Med Wochenschr"
62,"Endocrine research communications","Endocr Res Commun"
63,"Endocrinology","Endocrinology"
64,"Environmental letters","Environ Lett"
65,"Environmental quality and safety","Environ Qual Saf"
66,"Enzyme","Enzyme"
67,"European journal of applied physiology and occupational physiology","Eur J Appl Physiol Occup Physiol"
68,"European journal of biochemistry","Eur J Biochem"
69,"European journal of cardiology","Eur J Cardiol"
70,"European journal of clinical investigation","Eur J Clin Invest"
71,"Experimental cell research","Exp Cell Res"
72,"Experimental hematology","Exp Hematol"
73,"Il Farmaco; edizione scientifica","Farmaco Sci"
74,"Fel'dsher i akusherka","Feldsher Akush"
75,"Fiziologicheskii zhurnal SSSR imeni I. M. Sechenova","Fiziol Zh SSSR Im I M Sechenova"
76,"International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics","Int J Gynaecol Obstet"
77,"Biochemical Society transactions","Biochem Soc Trans"
78,"Nihon Funin Gakkai zasshi","Nihon Funin Gakkai Zasshi"
79,"Molecular and cellular endocrinology","Mol Cell Endocrinol"
80,"Developmental biology","Dev Biol"
81,"Genetics","Genetics"
82,"Gruzlica i choroby pluc; tuberculosis et pneumonologia","Gruzlica"
83,"Gut","Gut"
84,"Hamatologie und Bluttransfusion","Hamatol Bluttransfus"
85,"Folia medica Cracoviensia","Folia Med Cracov"
86,"Nihon yakurigaku zasshi. Folia pharmacologica Japonica","Nihon Yakurigaku Zasshi"
87,"Folia microbiologica","Folia Microbiol (Praha)"
88,"Food and cosmetics toxicology","Food Cosmet Toxicol"
89,"Fortschritte der Medizin","Fortschr Med"
90,"[Hokkaido igaku zasshi] The Hokkaido journal of medical science","Hokkaido Igaku Zasshi"
91,"Hoppe-Seyler's Zeitschrift fur physiologische Chemie","Hoppe Seylers Z Physiol Chem"
92,"Hospital & community psychiatry","Hosp Community Psychiatry"
93,"IEEE transactions on bio-medical engineering","IEEE Trans Biomed Eng"
94,"IMJ. Illinois medical journal","IMJ Ill Med J"
95,"Indian heart journal","Indian Heart J"
96,"Immunochemistry","Immunochemistry"
97,"Immunology","Immunology"
98,"Indian journal of experimental biology","Indian J Exp Biol"
99,"Infection and immunity","Infect Immun"
100,"L' Infirmiere canadienne","Infirm Can"
101,"International archives of allergy and applied immunology","Int Arch Allergy Appl Immunol"
102,"International journal of cancer","Int J Cancer"
103,"The International journal of the addictions","Int J Addict"
104,"International journal of peptide and protein research","Int J Pept Protein Res"
105,"International ophthalmology clinics","Int Ophthalmol Clin"
106,"The International journal of social psychiatry","Int J Soc Psychiatry"
107,"Investigative urology","Invest Urol"
108,"Intervirology","Intervirology"
109,"Israel journal of medical sciences","Isr J Med Sci"
110,"Health physics","Health Phys"
111,"HNO","HNO"
112,"Heart & lung : the journal of critical care","Heart Lung"
113,"Journal of animal science","J Anim Sci"
114,"Journal of applied physiology","J Appl Physiol"
115,"Journal - Association of Official Analytical Chemists","J Assoc Off Anal Chem"
116,"The Journal of the Association of Physicians of India","J Assoc Physicians India"
117,"Journal of bacteriology","J Bacteriol"
118,"Journal of biochemistry","J Biochem"
119,"The Journal of biological chemistry","J Biol Chem"
120,"The Journal of cardiovascular surgery","J Cardiovasc Surg (Torino)"
121,"The Journal of cell biology","J Cell Biol"
122,"Journal of cellular physiology","J Cell Physiol"
123,"Journal of chemical education","J Chem Educ"
124,"Journal of the Chemical Society. Perkin transactions 1","J Chem Soc Perkin 1"
125,"Journal of chromatography","J Chromatogr"
126,"Journal of clinical microbiology","J Clin Microbiol"
127,"The Journal of clinical investigation","J Clin Invest"
128,"Journal of comparative and physiological psychology","J Comp Physiol Psychol"
129,"Journal of clinical pharmacology","J Clin Pharmacol"
130,"Journal of dairy science","J Dairy Sci"
131,"Journal of consulting and clinical psychology","J Consult Clin Psychol"
132,"Journal of dental research","J Dent Res"
133,"Journal of economic entomology","J Econ Entomol"
134,"Journal of agricultural and food chemistry","J Agric Food Chem"
135,"Journal of the American Chemical Society","J Am Chem Soc"
136,"The Journal of the American Osteopathic Association","J Am Osteopath Assoc"
137,"Journal de gynecologie, obstetrique et biologie de la reproduction","J Gynecol Obstet Biol Reprod (Paris)"
138,"The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society","J Histochem Cytochem"
139,"Journal of insect physiology","J Insect Physiol"
140,"The Journal of infectious diseases","J Infect Dis"
141,"[Zasshi] [Journal]. Nihon Kyobu Geka Gakkai","Nihon Kyobu Geka Gakkai Zasshi"
142,"Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine","Nihon Naika Gakkai Zasshi"
143,"Journal of lipid research","J Lipid Res"
144,"The Journal of legal medicine","J Leg Med (N Y)"
145,"The Journal of endocrinology","J Endocrinol"
146,"The Journal of experimental biology","J Exp Biol"
147,"The Journal of experimental medicine","J Exp Med"
148,"The Journal of experimental zoology","J Exp Zool"
149,"Taiwan yi xue hui za zhi. Journal of the Formosan Medical Association","Taiwan Yi Xue Hui Za Zhi"
150,"The Journal of general physiology","J Gen Physiol"
151,"Journal of general microbiology","J Gen Microbiol"
152,"The Journal of nervous and mental disease","J Nerv Ment Dis"
153,"Journal of neurochemistry","J Neurochem"
154,"Journal of neurosurgery","J Neurosurg"
155,"Journal of neurosurgical nursing","J Neurosurg Nurs"
156,"The Journal of nutrition","J Nutr"
157,"The Journal of organic chemistry","J Org Chem"
158,"Journal of perinatal medicine","J Perinat Med"
159,"Journal of pharmaceutical sciences","J Pharm Sci"
160,"The Journal of pharmacology and experimental therapeutics","J Pharmacol Exp Ther"
161,"The Journal of physiology","J Physiol"
162,"The Journal of protozoology","J Protozool"
163,"The Journal of the Royal College of General Practitioners","J R Coll Gen Pract"
164,"Journal of medicinal chemistry","J Med Chem"
165,"Journal of medical entomology","J Med Entomol"
166,"Journal of medical education","J Med Educ"
167,"The Journal of membrane biology","J Membr Biol"
168,"Journal of microscopy","J Microsc"
169,"Journal of molecular biology","J Mol Biol"
170,"The Journal of trauma","J Trauma"
171,"Journal of virology","J Virol"
172,"The Journal of urology","J Urol"
173,"Journal of wildlife diseases","J Wildl Dis"
174,"JAMA","JAMA"
175,"Nihon rinsho. Japanese journal of clinical medicine","Nihon Rinsho"
176,"Nihon eiseigaku zasshi. Japanese journal of hygiene","Nihon Eiseigaku Zasshi"
177,"Japanese journal of medical science & biology","Jpn J Med Sci Biol"
178,"[Hokenfu zasshi] The Japanese journal for public health nurse","Hokenfu Zasshi"
179,"Nihon Hinyokika Gakkai zasshi. The japanese journal of urology","Nihon Hinyokika Gakkai Zasshi"
180,"Katilolehti","Katilolehti"
181,"The Japanese journal of veterinary research","Jpn J Vet Res"
182,"Kardiologiia","Kardiologiia"
183,"Kidney international","Kidney Int"
184,"Kidney international. Supplement","Kidney Int Suppl"
185,"Klinische Wochenschrift","Klin Wochenschr"
186,"Journal of the South Carolina Medical Association (1975)","J S C Med Assoc"
187,"Journal of studies on alcohol","J Stud Alcohol"
188,"Journal of theoretical biology","J Theor Biol"
189,"Medical & biological engineering","Med Biol Eng"
190,"Mechanisms of ageing and development","Mech Ageing Dev"
191,"Lakartidningen","Lakartidningen"
192,"Life sciences","Life Sci"
193,"Lipids","Lipids"
194,"Lloydia","Lloydia"
195,"Meditsinskaia radiologiia","Med Radiol (Mosk)"
196,"Medical times","Med Times"
197,"Die Medizinische Welt","Med Welt"
198,"Membranes","Membranes"
199,"Medicina","Medicina (B Aires)"
200,"Methods in cell biology","Methods Cell Biol"
201,"The Medical journal of Australia","Med J Aust"
202,"Medizinische Klinik","Med Klin"
203,"Modern healthcare. [Short-term care ed.]","Mod Healthc (Short Term Care)"
204,"Modern trends in neurology","Mod Trends Neurol"
205,"Molecular and cellular biochemistry","Mol Cell Biochem"
206,"Molecular biology reports","Mol Biol Rep"
207,"The New England journal of medicine","N Engl J Med"
208,"Nature","Nature"
209,"Die Naturwissenschaften","Naturwissenschaften"
210,"Naunyn-Schmiedeberg's archives of pharmacology","Naunyn Schmiedebergs Arch Pharmacol"
211,"Neoplasma","Neoplasma"
212,"Nephron","Nephron"
213,"Neuropharmacology","Neuropharmacology"
214,"Neurologia i neurochirurgia polska","Neurol Neurochir Pol"
215,"Military medicine","Mil Med"
216,"Nursing","Nursing"
217,"Occupational health; a journal for occupational health nurses","Occup Health (Lond)"
218,"Padiatrie und Padologie","Padiatr Padol"
219,"Parasitology","Parasitology"
220,"Pathology","Pathology"
221,"Pediatric research","Pediatr Res"
222,"Pediatria polska","Pediatr Pol"
223,"Pediatriia akusherstvo i ginekologiia","Pediatr Akus Ginekol"
224,"Perspectives in biology and medicine","Perspect Biol Med"
225,"Pflugers Archiv : European journal of physiology","Pflugers Arch"
226,"La Nouvelle presse medicale","Nouv Presse Med"
227,"Polskie Archiwum Medycyny Wewnetrznej","Pol Arch Med Wewn"
228,"Polski tygodnik lekarski (Warsaw, Poland : 1960)","Pol Tyg Lek"
229,"The Practitioner","Practitioner"
230,"Proceedings of the European Dialysis and Transplant Association. European Dialysis and Transplant Association","Proc Eur Dial Transplant Assoc"
231,"Proceedings of the National Academy of Sciences of the United States of America","Proc Natl Acad Sci U S A"
232,"Proceedings of the Royal Society of Medicine","Proc R Soc Med"
233,"Pharmaceutica acta Helvetiae","Pharm Acta Helv"
234,"Die Pharmazie","Pharmazie"
235,"Physiological chemistry and physics","Physiol Chem Phys"
236,"Physiologie (Bucarest)","Physiologie"
237,"Physiologia Bohemoslovaca","Physiol Bohemoslov"
238,"Psychiatrie, Neurologie, und medizinische Psychologie","Psychiatr Neurol Med Psychol (Leipz)"
239,"Psychological reports","Psychol Rep"
240,"Psychiatria polska","Psychiatr Pol"
241,"Psychopharmacologia","Psychopharmacologia"
242,"Psychopharmacology bulletin","Psychopharmacol Bull"
243,"Psychosomatic medicine","Psychosom Med"
244,"Psychotherapy and psychosomatics","Psychother Psychosom"
245,"Quarterly reviews of biophysics","Q Rev Biophys"
246,"Radiation research","Radiat Res"
247,"Progress in brain research","Prog Brain Res"
248,"Progress in biophysics and molecular biology","Prog Biophys Mol Biol"
249,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme","Tanpakushitsu Kakusan Koso"
250,"Progress in cardiovascular diseases","Prog Cardiovasc Dis"
251,"Recent advances in studies on cardiac structure and metabolism","Recent Adv Stud Cardiac Struct Metab"
252,"Revue de chirurgie orthopedique et reparatrice de l'appareil moteur","Rev Chir Orthop Reparatrice Appar Mot"
253,"Recent progress in hormone research","Recent Prog Horm Res"
254,"Research communications in chemical pathology and pharmacology","Res Commun Chem Pathol Pharmacol"
255,"Research in experimental medicine. Zeitschrift fur die gesamte experimentelle Medizin einschliesslich experimenteller Chirurgie","Res Exp Med (Berl)"
256,"Resuscitation","Resuscitation"
257,"Respiration physiology","Respir Physiol"
258,"Revista de medicina interna, neurologe, psihiatrie, neurochirurgie, dermato-venerologie. Medicina interna","Rev Med Interna Neurol Psihiatr Neurochir Dermatovenerol Med Interna"
259,"Scandinavian journal of dental research","Scand J Dent Res"
260,"Revista de medicina interna, neurologie, psihiatrie, neurochirurgie, dermato-venerologie. Neurologie, psihiatrie, neurochirurgie","Rev Med Interna Neurol Psihiatr Neurochir Dermatovenerol Neurol Psihiatr Neurochir"
261,"Scandinavian journal of gastroenterology. Supplement","Scand J Gastroenterol Suppl"
262,"Scandinavian journal of haematology","Scand J Haematol"
263,"Schriftenreihe des Vereins fur Wasser-, Boden- und Lufthygiene","Schriftenr Ver Wasser Boden Lufthyg"
264,"Schwestern Revue","Schwest Rev"
265,"Southern medical journal","South Med J"
266,"Sovetskaia meditsina","Sov Med"
267,"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde","S Afr Med J"
268,"Sairaanhoitaja. Sjukskoterskan","Sairaanhoitaja"
269,"Supervisor nurse","Superv Nurse"
270,"Surgery, gynecology & obstetrics","Surg Gynecol Obstet"
271,"Sygeplejersken","Sygeplejersken"
272,"Thrombosis et diathesis haemorrhagica","Thromb Diath Haemorrh"
273,"Thrombosis research","Thromb Res"
274,"Tidskrift for Sveriges sjukskoterskor","Tidskr Sver Sjukskot"
275,"Tijdschrift voor diergeneeskunde","Tijdschr Diergeneeskd"
276,"Thoraxchirurgie, vaskulare Chirurgie","Thoraxchir Vask Chir"
277,"Tijdschrift voor ziekenverpleging","Tijdschr Ziekenverpl"
278,"Tierarztliche Praxis","Tierarztl Prax"
279,"Toxicology and applied pharmacology","Toxicol Appl Pharmacol"
280,"Stroke","Stroke"
281,"Transplantation proceedings","Transplant Proc"
282,"Transfusion","Transfusion"
283,"UCLA forum in medical sciences","UCLA Forum Med Sci"
284,"Ukrains'kyi biokhimichnyi zhurnal","Ukr Biokhim Zh"
285,"Ugeskrift for laeger","Ugeskr Laeger"
286,"Urologia internationalis","Urol Int"
287,"Vestnik khirurgii imeni I. I. Grekova","Vestn Khir Im I I Grek"
288,"Veterinarni medicina","Vet Med (Praha)"
289,"The Veterinary record","Vet Rec"
290,"Veterinarno-meditsinski nauki","Vet Med Nauki"
291,"Virology","Virology"
292,"Vnitrni lekarstvi","Vnitr Lek"
293,"Wiadomosci lekarskie (Warsaw, Poland : 1960)","Wiad Lek"
294,"Zeitschrift fur allgemeine Mikrobiologie","Z Allg Mikrobiol"
295,"Voprosy neirokhirurgii","Vopr Neirokhir"
296,"Zeitschrift fur Allgemeinmedizin","Z Allgemeinmed"
297,"Zeitschrift fur arztliche Fortbildung","Z Arztl Fortbild (Jena)"
298,"Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete","Z Gesamte Inn Med"
299,"Zeitschrift fur Hautkrankheiten","Z Hautkr"
300,"Zeitschrift fur klinische Chemie und klinische Biochemie","Z Klin Chem Klin Biochem"
301,"Zeitschrift fur Krebsforschung und klinische Onkologie. Cancer research and clinical oncology","Z Krebsforsch Klin Onkol Cancer Res Clin Oncol"
302,"Zeitschrift fur Kardiologie","Z Kardiol"
303,"Zeitschrift fur medizinische Labortechnik","Z Med Labortech"
304,"Zeitschrift fur mikroskopisch-anatomische Forschung","Z Mikrosk Anat Forsch"
305,"Zeitschrift fur Urologie und Nephrologie","Z Urol Nephrol"
306,"Zhurnal vysshei nervnoi deiatelnosti imeni I P Pavlova","Zh Vyssh Nerv Deiat Im I P Pavlova"
307,"Zahnarztliche Mitteilungen","Zahnarztl Mitt"
308,"Zentralblatt fur Bakteriologie, Parasitenkunde, Infektionskrankheiten und Hygiene. Zweite naturwissenschaftliche Abt.: Allgemeine, landwirtschaftliche und technische Mikrobiologie","Zentralbl Bakteriol Parasitenkd Infektionskr Hyg"
309,"Zentralblatt fur Chirurgie","Zentralbl Chir"
310,"Zentralblatt fur Gynakologie","Zentralbl Gynakol"
311,"Zentralblatt fur Bakteriologie, Parasitenkunde, Infektionskrankheiten und Hygiene. Erste Abteilung Originale. Reihe A: Medizinische Mikrobiologie und Parasitologie","Zentralbl Bakteriol Orig A"
312,"Zhurnal eksperimental'noi i klinicheskoi meditsiny","Zh Eksp Klin Med"
313,"Zhurnal mikrobiologii, epidemiologii i immunobiologii","Zh Mikrobiol Epidemiol Immunobiol"
314,"Acta biologica et medica Germanica","Acta Biol Med Ger"
315,"Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry","Acta Chem Scand B"
316,"Activitas nervosa superior","Act Nerv Super (Praha)"
317,"Acta allergologica","Acta Allergol"
318,"Acta pathologica et microbiologica Scandinavica. Supplement","Acta Pathol Microbiol Scand Suppl"
319,"Acta oto-laryngologica","Acta Otolaryngol"
320,"Acta pharmacologica et toxicologica","Acta Pharmacol Toxicol (Copenh)"
321,"Acta pharmaceutica Suecica","Acta Pharm Suec"
322,"Advances in enzymology and related areas of molecular biology","Adv Enzymol Relat Areas Mol Biol"
323,"Advances in experimental medicine and biology","Adv Exp Med Biol"
324,"Advances in pharmacology and chemotherapy","Adv Pharmacol Chemother"
325,"Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association)","Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc"
326,"American heart journal","Am Heart J"
327,"American journal of epidemiology","Am J Epidemiol"
328,"American journal of obstetrics and gynecology","Am J Obstet Gynecol"
329,"American journal of optometry and physiological optics","Am J Optom Physiol Opt"
330,"The American journal of physiology","Am J Physiol"
331,"The American journal of psychiatry","Am J Psychiatry"
332,"American journal of public health","Am J Public Health"
333,"The American journal of tropical medicine and hygiene","Am J Trop Med Hyg"
334,"Der Anaesthesist","Anaesthesist"
335,"Analytical biochemistry","Anal Biochem"
336,"Analytica chimica acta","Anal Chim Acta"
337,"The Analyst","Analyst"
338,"Anesthesiology","Anesthesiology"
339,"American journal of veterinary research","Am J Vet Res"
340,"The American review of respiratory disease","Am Rev Respir Dis"
341,"Annals of internal medicine","Ann Intern Med"
342,"Annals of the New York Academy of Sciences","Ann N Y Acad Sci"
343,"Annals of the Royal College of Surgeons of England","Ann R Coll Surg Engl"
344,"Applied microbiology","Appl Microbiol"
345,"Archives of biochemistry and biophysics","Arch Biochem Biophys"
346,"Archives of dermatology","Arch Dermatol"
347,"Archives of disease in childhood","Arch Dis Child"
348,"Archives for dermatological research = Archiv fur dermatologische Forschung","Arch Dermatol Res"
349,"Archives of microbiology","Arch Microbiol"
350,"Archiv fur experimentelle Veterinarmedizin","Arch Exp Veterinarmed"
351,"Archives of general psychiatry","Arch Gen Psychiatry"
352,"Archiv fur Geschwulstforschung","Arch Geschwulstforsch"
353,"Archiv der Pharmazie","Arch Pharm (Weinheim)"
354,"Archives of surgery (Chicago, Ill. : 1960)","Arch Surg"
355,"Archives of toxicology","Arch Toxicol"
356,"Arkhiv patologii","Arkh Patol"
357,"Archives of neurology","Arch Neurol"
358,"Australian veterinary journal","Aust Vet J"
359,"Biochemical genetics","Biochem Genet"
360,"Avian diseases","Avian Dis"
361,"The Biochemical journal","Biochem J"
362,"Bollettino dell'Istituto sieroterapico milanese","Boll Ist Sieroter Milan"
363,"Bollettino chimico farmaceutico","Boll Chim Farm"
364,"British journal of experimental pathology","Br J Exp Pathol"
365,"Biochimie","Biochimie"
366,"Biokhimiia (Moscow, Russia)","Biokhimiia"
367,"Biology of reproduction","Biol Reprod"
368,"Biomedical engineering","Biomed Eng"
369,"Biopolymers","Biopolymers"
370,"Bio Systems","Biosystems"
371,"Biotechnology and bioengineering","Biotechnol Bioeng"
372,"Biorheology","Biorheology"
373,"Blood","Blood"
374,"Blut","Blut"
375,"Bulletin of the New York Academy of Medicine","Bull N Y Acad Med"
376,"Bulletin of the Parenteral Drug Association","Bull Parenter Drug Assoc"
377,"The British journal of psychiatry : the journal of mental science","Br J Psychiatry"
378,"Canadian journal of biochemistry","Can J Biochem"
379,"Canadian journal of surgery. Journal canadien de chirurgie","Can J Surg"
380,"Canadian journal of zoology","Can J Zool"
381,"The Central African journal of medicine","Cent Afr J Med"
382,"Cancer chemotherapy reports","Cancer Chemother Rep"
383,"Ceskoslovenska pediatrie","Cesk Pediatr"
384,"Clinical and experimental immunology","Clin Exp Immunol"
385,"Clinical immunology and immunopathology","Clin Immunol Immunopathol"
386,"Clinical pharmacology and therapeutics","Clin Pharmacol Ther"
387,"Coeur et medecine interne","Coeur Med Interne"
388,"Comparative biochemistry and physiology. B, Comparative biochemistry","Comp Biochem Physiol B"
389,"Cor et vasa","Cor Vasa"
390,"Diseases of the nervous system","Dis Nerv Syst"
391,"Drug metabolism and disposition: the biological fate of chemicals","Drug Metab Dispos"
392,"Drug and therapeutics bulletin","Drug Ther Bull"
393,"DTW. Deutsche tierarztliche Wochenschrift","Dtsch Tierarztl Wochenschr"
394,"Drugs","Drugs"
395,"Duodecim; laaketieteellinen aikakauskirja","Duodecim"
396,"East African medical journal","East Afr Med J"
397,"Epilepsia","Epilepsia"
398,"Experimental eye research","Exp Eye Res"
399,"Experimental gerontology","Exp Gerontol"
400,"Experimental neurology","Exp Neurol"
401,"Experientia","Experientia"
402,"Il Farmaco; edizione pratica","Farmaco Prat"
403,"FEBS letters","FEBS Lett"
404,"Folia biologica","Folia Biol (Praha)"
405,"Digestion","Digestion"
406,"Dimensions in health service","Dimens Health Serv"
407,"Diabetologia","Diabetologia"
408,"Gastroenterology","Gastroenterology"
409,"The Gerontologist","Gerontologist"
410,"Ginecologia y obstetricia de Mexico","Ginecol Obstet Mex"
411,"Haemostasis","Haemostasis"
412,"Fortschritte der Neurologie, Psychiatrie, und ihrer Grenzgebiete","Fortschr Neurol Psychiatr Grenzgeb"
413,"Humangenetik","Humangenetik"
414,"Infusionstherapie und klinische Ernahrung","Infusionsther Klin Ernahr"
415,"Infection","Infection"
416,"International anesthesiology clinics","Int Anesthesiol Clin"
417,"International journal of health services : planning, administration, evaluation","Int J Health Serv"
418,"International journal of clinical pharmacology and biopharmacy","Int J Clin Pharmacol Biopharm"
419,"International review of neurobiology","Int Rev Neurobiol"
420,"International journal of dermatology","Int J Dermatol"
421,"International urology and nephrology","Int Urol Nephrol"
422,"Investigative ophthalmology","Invest Ophthalmol"
423,"Health services research","Health Serv Res"
424,"Hefte zur Unfallheilkunde","Hefte Unfallheilkd"
425,"The Journal of antibiotics","J Antibiot (Tokyo)"
426,"The Journal of applied bacteriology","J Appl Bacteriol"
427,"The Journal of antimicrobial chemotherapy","J Antimicrob Chemother"
428,"The Journal of clinical endocrinology and metabolism","J Clin Endocrinol Metab"
429,"Journal of abnormal psychology","J Abnorm Psychol"
430,"Journal of the American College Health Association","J Am Coll Health Assoc"
431,"The Journal of allergy and clinical immunology","J Allergy Clin Immunol"
432,"Journal of helminthology","J Helminthol"
433,"Journal of hygiene, epidemiology, microbiology, and immunology","J Hyg Epidemiol Microbiol Immunol"
434,"Journal of immunology (Baltimore, Md. : 1950)","J Immunol"
435,"The Journal of investigative dermatology","J Invest Dermatol"
436,"The Journal of laboratory and clinical medicine","J Lab Clin Med"
437,"Journal of the Medical Association of Thailand = Chotmaihet thangphaet","J Med Assoc Thai"
438,"The Journal of general virology","J Gen Virol"
439,"The Journal of nursing education","J Nurs Educ"
440,"Journal of nutritional science and vitaminology","J Nutr Sci Vitaminol (Tokyo)"
441,"The Journal of pediatrics","J Pediatr"
442,"Journal of pediatric surgery","J Pediatr Surg"
443,"Journal de pharmacie de Belgique","J Pharm Belg"
444,"The Journal of pharmacy and pharmacology","J Pharm Pharmacol"
445,"Journal de physiologie","J Physiol (Paris)"
446,"Journal of reproduction and fertility","J Reprod Fertil"
447,"Journal of reproduction and fertility. Supplement","J Reprod Fertil Suppl"
448,"The Journal of reproductive medicine","J Reprod Med"
449,"The Journal of rheumatology","J Rheumatol"
450,"Journal of molecular and cellular cardiology","J Mol Cell Cardiol"
451,"Journal of molecular evolution","J Mol Evol"
452,"Journal of the National Cancer Institute","J Natl Cancer Inst"
453,"Journal of toxicology and environmental health","J Toxicol Environ Health"
454,"Journal d'urologie et de nephrologie","J Urol Nephrol (Paris)"
455,"Rinsho byori. The Japanese journal of clinical pathology","Rinsho Byori"
456,"The Japanese journal of physiology","Jpn J Physiol"
457,"Japanese journal of pharmacology","Jpn J Pharmacol"
458,"The Johns Hopkins medical journal","Johns Hopkins Med J"
459,"[Kango] Japanese journal of nursing","Kango"
460,"Klinische Monatsblatter fur Augenheilkunde","Klin Monbl Augenheilkd"
461,"Kosmicheskaia biologiia i aviakosmicheskaia meditsina","Kosm Biol Aviakosm Med"
462,"Magyar traumatologia, orthopaedia es helyreallito sebeszet","Magy Traumatol Orthop Helyreallito Seb"
463,"Medical biology","Med Biol"
464,"Medecine & chirurgie digestives","Med Chir Dig"
465,"Langenbecks Archiv fur Chirurgie","Langenbecks Arch Chir"
466,"Lille medical : journal de la Faculte de medecine et de pharmacie de l'Universite de Lille","Lille Med"
467,"Medicine and science in sports","Med Sci Sports"
468,"Medicine","Medicine (Baltimore)"
469,"Metabolism: clinical and experimental","Metabolism"
470,"Mikrobiologiia","Mikrobiologiia"
471,"Minnesota medicine","Minn Med"
472,"Molecular pharmacology","Mol Pharmacol"
473,"Monatsschrift fur Unfallheilkunde","Monatsschr Unfallheilkd"
474,"The Mount Sinai journal of medicine, New York","Mt Sinai J Med"
475,"Mycopathologia","Mycopathologia"
476,"National Institute of Animal Health quarterly","Natl Inst Anim Health Q (Tokyo)"
